Serial Number,Comment
152,Awesome explanation
153,Nice explanation
154,Fantastic video
155,"Amazing video 👏🏻 productive 6 min video ,, keep up the good work 😊"
156,Very nice introduction
157,thank you so much !!
158,Thank you!
159,amazing video sir
160,Great. The correct answer is C) Ensures fault tolerance
161,Great! The answer is C.
162,very helpful video. thanks.
163,Cool Explanation
164,The advantage of 3x replication is to ensure fault tolerance in case of node crashing
165,Really nice video. The answer is C. Ensures Fault Tolerance.
166,is for Fault Tolerance. tis vid is great.
167,Wonderful video..
168,Thanks! Clear
169,Extraordinary!
170,"Answer: c) fault tolerance 
Great video👍🏿👍🏿👍🏿"
171,"thanks for the explanation.
the answer to the question is c - ensures fault tolerance"
172,Nice presentation.. Thank you..
173,Nice explanation.. The answer is C - Ensure fault tollerens
174,Thanks mate.
175,"Storage unit - Distributed System and maintains backup 
Mapreduce - Splits and process the data
YARN - Yet another resources negotiator
- Resource manager, node manager, application master"
176,All answers is correct.
177,Replications are done to C)  ensure fault tolerance.
178,wonderful video for  beginners like me. Thanks a ton...I think the answer of the question is option c: ensure fault tolerance
179,well explained ...useful
180,best explanation!!! thanks a lot!
181,e) All of the above... but mainly c)ensures fault tolerance.
182,Thanks a lot. 🎉🎉
183,"Answer is Option (C)-Ensures Fault Tolerance.
It replicates data on 3 different nodes ,if any node crashes data can be retrieved from another node. I have one question- Since it replicates same data over 3 different nodes ,we required more storage space which comes with additional cost. Is there is any specific method which can be used to reduce this cost  ?"
184,The answer is C which is to ensure fault tolerance.
185,"The answer is c), just as mentioned earlier in the video.
Also, the video is really helpful and brief, thx!"
186,"Advantage of the 3x replication schema in HDFS is  ""Ensure fault tolerance""."
187,nicely explained and cool diagrams . Thanks
188,"Great Video, the answer to the quiz is C) Ensures fault tolerance."
189,"Answer: C) Ensures fault tolerance
Great and really informative video!!!"
190,"I think I will prefer this kind of animation over the traditional slide show explanation , good work @simplilearn and will be looking forward for these kind of video's"
191,u saved me from 100 page ppts before exam
192,advantage of replication scheme in hadoop is that it ensures fault tolerance
193,Amazing good job
194,awesome video
195,thanks for shairng
196,"it should be option C. Ensures fault tolerance, cause if one goes down other replicas takes place."
197,The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.
198,The answer to the question is : Ensure fault tolerance. Thank you for the video it was very informative
199,Just saved me a lot of stress going through all the slides from the academy. Amazing! tnxx
200,The advantage of 3x replication is to ensure fault tolerance in case of node crashing
201,Option C) Ensures fault tolerance is correct
202,option C is the answer as to save data or replica of the schema which ensure fault tolerance
203,very helpful
204,Thanks for the video!!!! Letter C- ensures fault tolerance...
205,"Awesome explanation.  I loved that , clearly explained all the parts."
206,Amazing video
207,"Hi, my answer is ""ensures fault tolerance"". Thank for the clear video, it will be useful for the Azure Data Fundamentals Certification."
208,Pretty awesome!!! ..
209,Good intro video ! Answer is Option C.
210,"thanks ans: A,B,D,... with the possibility of improving C fault capabilities."
211,"most people misinterpret it as a software product, whereas it simply is a framework"
212,"answer is c , it ensures the fault tolerance"
213,Love it !
214,excellent
215,Good knowledge
216,very gud ................................
217,"ensure fault tolerance, thanks for the tutorial"
218,Replica nodes help in fault tolerance but I think it may also help in load balance as replica nodes which can also take part in search queries which reduce load on one node
219,thank you
220,Small Capsule but more informative.  The correct option is C.
221,Option C) Ensures fault tolerance
222,Best one 😍
223,Liked - Subscribed - The answer to the quiz is C) Ensures fault tolerance.  =)
224,"Ensures Fault tolerance, which helps not to lose data if any of the node is down."
225,answer: Ensures fault tolerance
226,"I clicked in this video thinking it would be satire because of the title, still a good video and learned a lot."
227,great explanation
228,"quiz 05:11  My answer is A, B, and C."
229,thanks for the great explanation and answer is C
230,the answer is C ie Ensure Fault tolerance.
231,Thank you. Easy explaination
232,this video is super useful!!!
233,Thank you very much!
234,This is really helpful.. answer is C
235,"Great Video!! Easy to learn, Ensure Fault tolerant for data block replication in node."
236,Great explanation..100 times better than our lecturers..thank u
237,Thank you so much for this simple explanation
238,The answer is C.(ensures fault tolerance)
239,answer is (c) ensures fault tolerance
240,all of the above right answer
241,answer is C.Ensures fault tolerance
242,"Thanks, great Video 
I selected the option C - Ensure Fault tolerance"
243,C! Great video
244,Good one ... answer is C.
245,The correct answer should be c) ensures fault tolerance
246,Amazing.....answer is C
247,Really very good info. Thanks.
248,Thanks
249,The answer is C ensures fault tolerance!
250,Answer C! Please make the Amazon voucher out to Jon and Patrick. Thanks Simplilearn 😁
251,Option (c) Ensures Fault tolerance.
252,C. Ensure fault tolerance
253,c) ensures fault tolerance
254,C. Ensure fault tolerance
255,a good intro
256,"Advantages of the 3x replication Schema in HdFS is b,c,d"
257,ensures fault tolerance since replication factor is 3 each 128 mb data will be replicated 3 times
258,The 3x replication schema ensures fault tolerance
259,Option C fault tolerance
260,Option C is the correct Answer
261,Wow something productive
262,Great video. I believe the answer is option b.
263,By given question answer was--ensure fault tolerance
264,"C, ensures fault tolerance"
265,Ensures fault tolerance option c is correct.
266,Answer is a) support parallel processing
267,ensures fault tollerance
268,C) ensures fault tolerance because duplication is a strategy to do that
269,"answer is c, fault tolerance"
270,C) ensure fault tolerance
271,option C> ensure fault tolerance
272,All 4 options are correct
273,C) Ensures fault tolerance.
274,Correct answer is c: Ensures fault tolerance.. which Protects the data when a node crashes
275,The answer is option (C) Ensure fault tolerance.
276,The answer is c ❤️
277,Option C is the answer because it avoids data loss
278,3X replication of schema in HDFS ensures fault tolerance
279,C) Ensures fault tolerance
280,the answer is  c)Ensures fault tolerance
281,3 time factor is used for fault tolerance
282,"Option C :Advantage of the 3x replication schema in HDFS is  ""Ensure fault tolerance"
283,C.  To ensure fault tolerance
284,c) ensures fault tolerance
285,Option C: to Ensure fault tolerance
286,The advantage of 3X replication schema in HDFS is It Ensures fault tolerance
287,he advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.
288,C) Ensure fault tolerance
289,"Informative video with one Caveat.  With respect to replication.  The phrase ""at no cost"" is not  true.  There is a cost of disk space.  For the purposes of this video it is a pedantic point but for an architect and budget set of reasons it should be mentioned."
290,Answer is Fault tolerance
291,C. Ensure fault tolerance
292,the answer is : ensures fault tolerance.
293,"C
is the correct one"
294,Option b c and d is the advantage of hdfs
295,Ensure fault tolerance
296,C: Fault tolerance is the answer
297,The answer is to ensures fault tolerance.
298,c) ensures fault tolerance
299,C.Ensures Fault tolerance
300,3x replication in HDFS ensures fault tolerance.
301,it ensures fault tolerance
302,amazing
303,All of the above are advantages
304,C ensures fault tolerance
305,"Well the Answer is To Ensure Fault Tolerance
If any case our data got erase or corrupt we can still have it as backup"
306,Supports parallel processing
307,C Option : Ensure fault tolerance
308,Answer is c) Ensure Fault Tolerance
309,It Ensures fault tolerance
310,"option c, ensure fault tolerance"
311,answer C: fault-tolerance
312,C ensures fault tolerance
313,Option C. Ensures Fault Tolerance
314,option C ensures data fault tolerance
315,"answer is ""data is not lost at any cost; even if one DataNode crashes, hence HDFS is ensure fault-tolerant."""
316,"The answer to the question is fault tolerance. But I have a doubt, when 3x replication happens the storage amount also increases by 3 right. does that cost more on storage ?"
317,answer of the question :  is c ) Ensures fault tolerance
318,The answer is: C) Ensures fault tolerance
319,I can’t believe i understood this.
320,Answer is C  - fault tolerance
321,"c) Ensures fault tolerance.

Answer to the question  at 05:25 :)"
322,The answer is To ensure fault tolerance
323,Very good!
324,option c ensures fault tolerance.
325,HDFS 3X schema: Ensure fault tolerance.
326,Ensures fault tolerance
327,Ensures fault tolerance
328,Ensures fault tolerance
329,Ensures fault tolerance
330,Option c correct
331,C - Ensures fault tolerance
332,Ensures fault tolerance
333,Ensures fault tolerance
334,Ensures fault tolerance
335,ans is C. Ensures fault tolerance
336,Ensures fault tolerance
337,Ensures fault tolerance
338,Ensures fault tolerance
339,"Answer is ""A: Parallel processing"""
340,Option C is correct.
341,The answer is 3)   Ensures fault tolerance
342,To ensure fault tolerance
343,c. Ensures fault tolerance
344,C is the correct option.
345,Option c is the correct answer
346,Answer for your question is 3×replication   ensures fault tolerance
347,Answer : (c) fault tolerance
348,"Answer of Question is C ,Ensure  fault tolerence"
349,The answer is : Ensure fault tolerance
350,Ensure fault tolerance
351,advantage of 3X replication schema is it ensures fault tolerance.
352,C ensuring fault tolerance
353,Ensure fault tolerance
354,OPT C] Fault Tolarance
355,Ans: Ensures for tolerance
356,c) Ensures fault tolerance
357,C Ensures fault tolerance
358,Fault Tolerance is the answer
359,Ensure fault tolerance
360,Ensure fault tolerance
361,Option is C)
362,C. Ensures fault tolerance
363,Could I use hadoop to implement a data warehouse?
364,C. Ensures fault tolerance
365,c) ensures Fault Tolerance
366,super
367,all four is the answer
368,c.) Ensures fault tolerance
369,Ensure fault tolerance
370,c) Ensures fault tolerance
371,"1:16
4:11
5:43"
372,option c is correct
373,All of the above
374,Ensure fault tolerance
375,Great explainer vid! Is Hadoop still relevant today?  how does it work in the AI/ML pipeline ?
376,Fault tolerance is the answer
377,C) Ensures fault tolerance 😃
378,"Answer is 
C.Ensures Fault Tolerance"
379,Supports parallel processing
380,C) ensures fault tolerance
381,Option C is correct
382,C) ensure fault Tolerance
383,ensures fault tolerance
384,Option C is the right ans
385,Option C: Ensure Fault tolerances.
386,🔥🔥🔥🔥🔥🔥🔥🔥
387,Its option C) Ensures fault tolerance
388,The answer is : C: Ensure fault tolerance
389,FAULT TOLERANCE is the answer
390,Option C: Ensure Fault tolenrance
391,C. Ensure Fault Tolerance
392,Answer: ensures  fault tolerance
393,Nice vid
394,C: fault tolerance
395,C - Ensures fault tolerance.
396,The answer is C) :)
397,ensures fault tolerance
398,Ensure fault tolerance
399,Answer is optional C
400,C : fault tolerance
401,ensures fault tolerance
402,c. Fault tolerance
403,c. ensures fault tolerance
404,ensures fault tolerance
405,"Well explained 👏. But can you compare it with distributed databases, how it is better than those?"
406,ensures fault tolerance
407,C) fault tolerance
408,"I’m late but still I want to answer the question 
It’s fault tolerance (if one node fails the data from other node would be used)

I have a question? Is the replication factor fixed to 3 or is it a default value?"
409,I know it is late but my answer for the question is C. :)
410,C: Ensure fault tolerance
411,C == Fault tolerance
412,Option C) fault tolerance
413,"I have a question, as a file system how hadoop can manage a database file(like mssql or mysql) file? How can it devide an .MDF file to other separeted files to store them on different machines? Because such files, have meta data and overhead and they are not like a basic txt file. Does hadoop have special system to treat each file type differently? Regards."
414,C) ensures fault tolerance
415,C) ensures fault tolerance
416,Option C: Ensures Fault Tolerance
417,Answer: 3X replication is used for fault tolerance 😁
418,Answer: C) Ensures fault tolerance
419,It's C) Ensure Fault tolerance
420,Answer--> (c) Fault Tolerance
421,C) Ensures fault tolerance
422,All of them
423,c) Ensures fault tolerence
424,Option C fault tolerance
425,Ensures Fault Tolerance
426,7c's of communication was followed with answers c.
427,c. ensures fault tolerance
428,to ensure Fault Tolarence
429,All options
430,c) ensures fault tolerance
431,C) Ensures fault tolerance
432,Ensures Fault Tolerance
433,C . ensure fault tolerance
434,C) Ensures fault tolerance
435,Option C: Ensure Fault Tolerance
436,C is the correct answer
437,Answer C
438,Answer is All
439,Option C
440,from where does the hadoop is getting the storage for HDFS??? is it using our computer?? or does it have some cloud storage?? i did not understand..
441,C) Ensures fault tolerance
442,C: ensure fault tolerance
443,"Its option C, fault tolerance. It was quick an sound."
444,Option 3
445,C: ensure fault tolerance
446,it is fault tolerance
447,ensure fault tolerance
448,Option 3
449,186 slides given by my professor is explained in 6 minutes!!!!!
450,Answer is C.
451,I think its (C)Ensures fault tolerance...
452,Correct Answer is :- C):
453,Answer C fault tolerance
454,the answer is C. fault tolerant
455,Answer is (C) ENSURES A FAULT TOLERANCE
456,C) Ensures Fault Tolerance
457,Option C
458,Answer is C
459,Answer is C
460,Answer is C
461,Option C
462,Answer is C
463,Option C
464,Answer C
465,Answer is C
466,Answer is C
467,Answer for the question : c) Ensures fault tolerance
468,Option C
469,Option C
470,C) Fault Tolerance
471,The answer to the question is C
472,C) Ensures Fault Tolerance
473,Ensures fault tolerance
474,Answer is c
475,quiz ans is option C
476,Clear. But why did he glance over HDFS without even really explaining how it works? @02:00
477,"Hadoop is designed to keep large files, right? But what is the sense to keep files instead of different data format? You have dozens of databases; sql, none-sql. They are faster, easier to work with."
478,The answer is C :)
479,C) Ensure Fault Tolerate
480,Ans:Ensure fault tolerance
481,Quiz answer: A Support parallel processing.
482,Answer is c) Ensure Fault Tolerance
483,c) Ensures Fault Tolerance
484,Answer is C...!👍
485,all of the above
486,The advantage of 3x replicant is ensure fault tolerance....why bcz if one computer is corrupted our data is still exists remaining 2 computers...that is called duplication.....
487,all of them
488,C - ensures fault tolerance
489,C is the answer
490,Answer: C
491,Ensures fault tolerance.
492,Ans is C
493,answer is C
494,c) Fault tolerance
495,Semiconductor pipe path based 1 input output also 1 during colliding different pipes dust in path is haddopp in my understanding. (Dex IOE 2000nepal):running jobs incidents based impact collector in path pc magazine.
496,the answer is C!
497,Ensures fault tolerance
498,C is the answer
499,0:42 how the heck do you cross over things?!
500,Answers is C
501,c) Ensures fault  tolerance
502,C. Ensures fault tolerance
503,C - Fault Tolerance. Where can i learn more?
504,c is the answer
505,Ensure fault tolerance
506,ensures Fault Tolerance
507,c is the answer
508,The answer to question is : Option C
509,The answer is C
510,c) Ensure fault tolerance
511,option C
512,I think the answer is C
513,to ensure fault tolerance.
514,its C - ensure fault tolerance
515,answer C
516,"I have a question ⁉️ In case of Replicating the file * 3  :Is  this make storage issue, data redundancy..."
517,"• Storing
• Map reduce
• Clustering"
518,c) Ensures fault tolerance
519,C : Ensure Fault Tolerance
520,"600 Mb is less than 1 Gb. Why would such a low amount of data need to be split up among various nodes? Was there a mistake, or am I missing something? 
Question 2: Is Hadoop mainly a skill for someone training to be a Data Scientist to learn, or do Data Analyst need to know it also?

Question 3: What's the story behind the funny name?"
521,Option c.
522,Is this by any chance a video about Hadoop?
523,Faul tolerant - HDFS
524,C. Ensures fault tolerance
525,"3 components
1. Storage
2. MapReduce
3. YARN (Yet another resource negotiator)"
526,"I don't quite understand: Wouldn't the replication method to increase fault tolerance also increase the amount of data to be stored? So for example, instead of 128MB of data (Block B) to be stored in a node, I now have 128MB x 2 amount of data to be stored in that node because I also need to store Block B AND the replica of Black A. If this node also needs to store the replica of the other blocks, it might as well be storing 600MB worth of data, something which we were trying to reduce in the first place."
527,"Answer to question
C) Generate Fault Tolerance"
528,c)Ensures fault tolerance
529,ensures fault tolerance
530,C fault tolerance
531,The answer to the quiz is all 4 answers
532,C. Ensure Fault Tolerence
533,The answer is C.
534,the answer is C
535,"Apache spark won the game,"
536,"I want to win pls ❤❤❤
Best youtuber ever
Like content
Been watching u since i was born"
537,Ans : Ensure fault tolerence
538,answer for the question is C
539,option C is correct answer
540,Answer C
541,option c
542,option c
543,Thanks for the great video! But I have a question about the reduced map. Wouldn’t the original data be lost after this process? And how could they retrieve the data after this process? Thank you
544,Fault tolerance
545,So basically it's an cloud computing systems. Like azure or aws
546,"Its 
A,B,D"
547,My answer is d
548,Fault tolerant is the answer for the question
549,The answer is A.
550,C fault tolerance
551,The Answer is (C): Ensure Fault Tolerance
552,Anser is c)
553,Support parallel processing...
554,Answer is C option
555,C) Ensure Fault Tolerance
556,Answer C
557,Answer C
558,Option C is the answer
559,answer is option c
560,C) Ensure Fault Tolerance
561,"the response is ""C"""
562,Option C
563,Fault tolerance
564,Fault tolerance
565,Fault tolerance
566,Fault tolerance
567,Fault tolerance
568,Fault tolerance
569,Fault tolerance
570,Fault tolerance
571,Fault tolerance
572,Fault tolerance
573,The answer is fault tolarence
574,"The Answer of Quiz is
 C. Ensure Fault Tolerance"
575,C.. Fault tolerance
576,Option C
577,Option C
578,Option C
579,Answer is  C
580,Which whiteboard software is used in this video?
581,Answer is C
582,Answer is C
583,ensure fault tolerance
584,option c
585,fault tolerance
586,c. Fault Tolerance
587,C option
588,answer is C
589,answer is C
590,ans-fault tolerance?
591,the option C is the answer
592,Ans: Ensures Fault Tolerance
593,cool
594,Ans is C
595,And the Answer is C
596,(C) Ensures fault tolerance
597,Wr get all this thing's 😅
598,ans. D
599,c) Ensure Fault Tolerance
600,"Given that it's split across 3 devices, I'm guessing it can do a b & c. Maybe even d, if configured correctly."
601,Option c
602,Option c
603,the answer is C for your question
604,Ans:Fault tolerance
605,option C
606,The Answer is C - Fault Tolerance
607,Answer is :C
608,Answer C:- Ensures Fault Tolerance
609,Answer :-- All of the Above?
610,C- Ensures Fault Tolerance
611,Ans: c
612,Answer is c :-
613,The advantages of 3x replication schema are the four proposed
614,answer is C
615,"A,B,D"
616,C. FAULT TOLERANCE
617,C. Fault Tolerance
618,I m very late here still answer is C
619,C
620,option c
621,Fault tolerance!  What did I win?
622,Answer: Fault Tolerance
623,c . fault tollerence
624,"Question: Purpose of replicating data in HDFS. 
Answer: To ensure Fault Tolerance"
625,C
626,C
627,ENSURE FAULT TOLERANCE
628,the answer is C
629,1.A
630,"Which of the following statement is not correct about hdfs
Ans: smaller chunks of data are stored in multiple data nodes in hdfs"
631,Fault tolerance
632,(c) Ensures Fault Tolerance
633,The answer is c
634,a and c
635,"But wait, the 600MB would require 600MB x 3 space to make sure we can store it using HDFS. the video suggest we need only 5 nodes, but it's not true!"
636,The ans is...Manages cluster resources....
637,fault tolerance
638,may be the answer is   c
639,a and c
640,fault tolerance
641,Answer : Ensures Fault Tolerance
642,Option C #krinu
643,How can this be usefull in automobile industry?
644,C
645,C
646,C
647,why music ??
648,C
649,C.
650,C
651,C
652,C
653,C
654,C
655,C
656,C
