serial number,comment,demojized_comment,cleaned_comment,lemmatized_tokens,sentiment_vader,sentiment_textblob,sentiment_transformer,transformer_score,keywords_rake,keywords_yake,keywords_tfidf
11,"Amazing
I missed this important lectures in my University
I thought won't able to learn 
But you did so well. Even my professor can't explain this way.
Thank you so much","Amazing
I missed this important lectures in my University
I thought won't able to learn 
But you did so well. Even my professor can't explain this way.
Thank you so much",amazing i missed this important lectures in my university i thought wont able to learn but you did so well even my professor cant explain this way thank you so much,"['amazing', 'miss', 'important', 'lecture', 'university', 'think', 'will', 'not', 'able', 'learn', 'well', 'even', 'professor', 'can', 'not', 'explain', 'way', 'thank', 'much']",Positive,Positive,POSITIVE,0.9997286200523376,"['thought wont able', 'professor cant explain', 'well even', 'way thank', 'important lectures', 'university', 'much', 'missed', 'learn', 'amazing']","['amazing', 'missed', 'important', 'lectures', 'university', 'thought', 'wont', 'learn', 'professor', 'explain']","['way', 'did', 'learn', 'amazing', 'thank']"
12,Two weeks of study at my university explained in 6 minutes. Thank you.,Two weeks of study at my university explained in 6 minutes. Thank you.,two weeks of study at my university explained in minutes thank you,"['two', 'week', 'study', 'university', 'explain', 'minute', 'thank']",Positive,Neutral,POSITIVE,0.9988401532173156,"['university explained', 'two weeks', 'minutes thank', 'study']","['weeks', 'study', 'university', 'explained', 'minutes']","['minutes', 'explained', 'thank']"
13,This single 6min video explained more better than large videos & few course,This single 6min video explained more better than large videos & few course,this single min video explained more better than large videos few course,"['single', 'min', 'video', 'explain', 'well', 'large', 'video', 'course']",Positive,Positive,NEGATIVE,0.9740768671035768,"['single min video explained', 'large videos', 'course', 'better']","['single', 'min', 'explained', 'large', 'video', 'videos']","['course', 'min', 'videos', 'better', 'explained', 'video']"
14,Amazing how easy and fast you guys could put together all the concepts and information about Hadoop. Congrats !!,Amazing how easy and fast you guys could put together all the concepts and information about Hadoop. Congrats !!,amazing how easy and fast you guys could put together all the concepts and information about hadoop congrats,"['amazing', 'easy', 'fast', 'guy', 'could', 'put', 'together', 'concept', 'information', 'hadoop', 'congrat']",Positive,Positive,POSITIVE,0.9993883371353148,"['guys could put together', 'hadoop congrats', 'information', 'fast', 'easy', 'concepts', 'amazing']","['amazing', 'congrats', 'easy', 'fast', 'guys', 'put', 'concepts', 'information', 'hadoop']","['concepts', 'easy', 'amazing', 'hadoop']"
15,This dude just explained what my teacher explained in 4 hours in 6 mins very nice video !,This dude just explained what my teacher explained in 4 hours in 6 mins very nice video !,this dude just explained what my teacher explained in hours in mins very nice video,"['dude', 'explain', 'teacher', 'explain', 'hour', 'min', 'nice', 'video']",Positive,Positive,POSITIVE,0.7110141515731812,"['nice video', 'teacher explained', 'explained', 'mins', 'hours', 'dude']","['video', 'explained', 'dude', 'teacher', 'hours', 'mins', 'nice']","['explained', 'mins', 'just', 'nice', 'video']"
16,"The answer is C, ensures fault tolerance! I love your videos, really helps me with my Data Science class right now.","The answer is C, ensures fault tolerance! I love your videos, really helps me with my Data Science class right now.",the answer is c ensures fault tolerance i love your videos really helps me with my data science class right now,"['answer', 'c', 'ensure', 'fault', 'tolerance', 'love', 'video', 'really', 'help', 'data', 'science', 'class', 'right']",Positive,Positive,POSITIVE,0.9904300570487976,"['data science class right', 'c ensures fault tolerance', 'videos really helps', 'love', 'answer']","['answer', 'ensures', 'fault', 'tolerance', 'love', 'videos', 'data', 'science', 'class']","['science', 'love', 'right', 'videos', 'really', 'data', 'ensures', 'answer', 'tolerance', 'fault']"
17,You describe 2/3 hr of a lecture with in a 5 min. Same like your name SimpleLearn Your Teaching style is superb. Thanks brother❤,You describe 2/3 hr of a lecture with in a 5 min. Same like your name SimpleLearn Your Teaching style is superb. Thanks brother red_heart ,you describe hr of a lecture with in a min same like your name simplelearn your teaching style is superb thanks brother red_heart,"['describe', 'hr', 'lecture', 'min', 'like', 'name', 'simplelearn', 'teaching', 'style', 'superb', 'thanks', 'brother', 'red_heart']",Positive,Positive,POSITIVE,0.997099757194519,"['superb thanks brother red_heart', 'teaching style', 'name simplelearn', 'describe hr', 'min', 'like', 'lecture']","['heart', 'red', 'describe', 'lecture', 'min', 'simplelearn', 'teaching', 'style', 'superb', 'brother']","['lecture', 'red_heart', 'min', 'like', 'thanks']"
18,"The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.
Your Explanation was Awesome. and i have a question
How we create data product using Hadoop??","The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.
Your Explanation was Awesome. and i have a question
How we create data product using Hadoop??",the advantage of the x replication schema in hdfs is option c: to ensure fault tolerance your explanation was awesome and i have a question how we create data product using hadoop,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', ':', 'ensure', 'fault', 'tolerance', 'explanation', 'awesome', 'question', 'create', 'data', 'product', 'use', 'hadoop']",Positive,Positive,NEGATIVE,0.9795383810997008,"['create data product using hadoop', 'x replication schema', 'ensure fault tolerance', 'option c', 'question', 'hdfs', 'explanation', 'awesome', 'advantage']","['hadoop', 'advantage', 'replication', 'schema', 'hdfs', 'option', 'ensure', 'fault', 'tolerance', 'explanation']","['awesome', 'advantage', 'schema', 'hdfs', 'question', 'replication', 'data', 'hadoop', 'explanation', 'option']"
19,The answer is C. Thanks for best teaching!,The answer is C. Thanks for best teaching!,the answer is c thanks for best teaching,"['answer', 'c', 'thank', 'good', 'teaching']",Positive,Positive,POSITIVE,0.9990127086639404,"['c thanks', 'best teaching', 'answer']","['teaching', 'answer']","['best', 'thanks', 'answer']"
20,"5 mins left for my exam, im watching this","5 mins left for my exam, im watching this",mins left for my exam im watching this,"['min', 'leave', 'exam', 'I', 'm', 'watch']",Neutral,Neutral,NEGATIVE,0.9860875010490416,"['exam im watching', 'mins left']","['mins', 'left', 'exam', 'watching']",['mins']
21,visual explanation was the best part. for a newbie like me I could grasp the concept much faster. The answer to the quiz is fault tolerance. thanks.,visual explanation was the best part. for a newbie like me I could grasp the concept much faster. The answer to the quiz is fault tolerance. thanks.,visual explanation was the best part for a newbie like me i could grasp the concept much faster the answer to the quiz is fault tolerance thanks,"['visual', 'explanation', 'good', 'part', 'newbie', 'like', 'could', 'grasp', 'concept', 'much', 'fast', 'answer', 'quiz', 'fault', 'tolerance', 'thank']",Positive,Positive,POSITIVE,0.9814947843551636,"['fault tolerance thanks', 'concept much faster', 'visual explanation', 'newbie like', 'could grasp', 'best part', 'quiz', 'answer']","['visual', 'explanation', 'part', 'newbie', 'grasp', 'concept', 'faster', 'answer', 'quiz', 'fault']","['concept', 'faster', 'like', 'quiz', 'best', 'explanation', 'thanks', 'answer', 'tolerance', 'fault']"
22,This was amazing.  It's just about the best high level description of HADOOP I've ever seen.,This was amazing.  It's just about the best high level description of HADOOP I've ever seen.,this was amazing its just about the best high level description of hadoop ive ever seen,"['amazing', 'good', 'high', 'level', 'description', 'hadoop', 'I', 've', 'ever', 'see']",Positive,Positive,POSITIVE,0.9998158812522888,"['hadoop ive ever seen', 'best high level description', 'amazing']","['amazing', 'high', 'level', 'description', 'hadoop', 'ive']","['just', 'best', 'amazing', 'hadoop']"
23,all those multiple slides showed in our lectures yet your 6 mins video made me understand and write multiple concepts of hadoop architecture 🙏,all those multiple slides showed in our lectures yet your 6 mins video made me understand and write multiple concepts of hadoop architecture  folded_hands ,all those multiple slides showed in our lectures yet your mins video made me understand and write multiple concepts of hadoop architecture folded_hands,"['multiple', 'slide', 'show', 'lecture', 'yet', 'min', 'video', 'make', 'understand', 'write', 'multiple', 'concept', 'hadoop', 'architecture', 'folded_hand']",Neutral,Neutral,POSITIVE,0.9920703768730164,"['write multiple concepts', 'multiple slides showed', 'mins video made', 'hadoop architecture folded_hands', 'lectures yet', 'understand']","['hands', 'folded', 'multiple', 'slides', 'showed', 'lectures', 'mins', 'video', 'made', 'understand']","['multiple', 'concepts', 'mins', 'slides', 'understand', 'hadoop', 'video']"
24,The answer to the question is : Ensure fault tolerance. Thank you for the video it was very informative,The answer to the question is : Ensure fault tolerance. Thank you for the video it was very informative,the answer to the question is : ensure fault tolerance thank you for the video it was very informative,"['answer', 'question', ':', 'ensure', 'fault', 'tolerance', 'thank', 'video', 'informative']",Positive,Positive,POSITIVE,0.9907768964767456,"['ensure fault tolerance thank', 'video', 'question', 'informative', 'answer']","['ensure', 'informative', 'answer', 'question', 'fault', 'tolerance', 'video']","['informative', 'question', 'thank', 'video', 'ensure', 'answer', 'tolerance', 'fault']"
25,"Explanation in is very good in less time.i'm also work on hadoop but that kind of knowledge gain today .
Summary:
Hadoop contain 3 measure part:
1) hdfs:hadoop distributed file system
2) MapReduce: basically it is memory management 
3)YARN : it provide management of all kind.

Thank team","Explanation in is very good in less time.i'm also work on hadoop but that kind of knowledge gain today .
Summary:
Hadoop contain 3 measure part:
1) hdfs:hadoop distributed file system
2) MapReduce: basically it is memory management 
3)YARN : it provide management of all kind.

Thank team",explanation in is very good in less timeim also work on hadoop but that kind of knowledge gain today summary: hadoop contain measure part: hdfs:hadoop distributed file system mapreduce: basically it is memory management yarn : it provide management of all kind thank team,"['explanation', 'good', 'less', 'timeim', 'also', 'work', 'hadoop', 'kind', 'knowledge', 'gain', 'today', 'summary', ':', 'hadoop', 'contain', 'measure', 'part', ':', 'hdfs', ':', 'hadoop', 'distribute', 'file', 'system', 'mapreduce', ':', 'basically', 'memory', 'management', 'yarn', ':', 'provide', 'management', 'kind', 'thank', 'team']",Positive,Positive,POSITIVE,0.9288095235824584,"['hadoop distributed file system mapreduce', 'less timeim also work', 'knowledge gain today summary', 'hadoop contain measure part', 'memory management yarn', 'kind thank team', 'provide management', 'hadoop', 'kind', 'hdfs']","['hdfs', 'hadoop', 'kind', 'management', 'explanation', 'summary', 'part', 'mapreduce', 'basically', 'yarn']","['kind', 'hadoop', 'file', 'work', 'good', 'hdfs', 'explanation', 'thank']"
26,"Option C - Ensures Fault Tolerance 


This is very sweet to get the intro of the Hadoop in 5 mints.

Thanks for help.👍","Option C - Ensures Fault Tolerance 


This is very sweet to get the intro of the Hadoop in 5 mints.

Thanks for help. thumbs_up ",option c ensures fault tolerance this is very sweet to get the intro of the hadoop in mints thanks for help thumbs_up,"['option', 'c', 'ensure', 'fault', 'tolerance', 'sweet', 'get', 'intro', 'hadoop', 'mint', 'thank', 'help', 'thumbs_up']",Positive,Positive,POSITIVE,0.9946448802947998,"['option c ensures fault tolerance', 'mints thanks', 'help thumbs_up', 'sweet', 'intro', 'hadoop', 'get']","['option', 'thumbs', 'ensures', 'fault', 'tolerance', 'sweet', 'intro', 'hadoop', 'mints']","['thumbs_up', 'hadoop', 'thanks', 'option', 'ensures', 'tolerance', 'fault']"
27,The Most Precise and Easy to understand video Ever!!!!!,The Most Precise and Easy to understand video Ever!!!!!,the most precise and easy to understand video ever,"['precise', 'easy', 'understand', 'video', 'ever']",Positive,Positive,POSITIVE,0.9997530579566956,"['understand video ever', 'precise', 'easy']","['precise', 'easy', 'understand', 'video']","['easy', 'understand', 'video']"
28,"C) Ensures fault tolerance
Thanks for such information
Appreciable 👌","C) Ensures fault tolerance
Thanks for such information
Appreciable  OK_hand ",c ensures fault tolerance thanks for such information appreciable ok_hand,"['c', 'ensure', 'fault', 'tolerance', 'thank', 'information', 'appreciable', 'ok_hand']",Positive,Positive,POSITIVE,0.9603335857391356,"['c ensures fault tolerance thanks', 'information appreciable ok_hand']","['hand', 'ensures', 'fault', 'tolerance', 'information', 'appreciable']","['thanks', 'ensures', 'tolerance', 'fault']"
29,"Short but very meaningful knowledge video. I am joining a class conducted by organization, before that I was looking for something really meaningful and Lord has brought me here. Thanks","Short but very meaningful knowledge video. I am joining a class conducted by organization, before that I was looking for something really meaningful and Lord has brought me here. Thanks",short but very meaningful knowledge video i am joining a class conducted by organization before that i was looking for something really meaningful and lord has brought me here thanks,"['short', 'meaningful', 'knowledge', 'video', 'join', 'class', 'conduct', 'organization', 'look', 'something', 'really', 'meaningful', 'lord', 'bring', 'thank']",Positive,Positive,POSITIVE,0.99960058927536,"['something really meaningful', 'meaningful knowledge video', 'class conducted', 'thanks', 'short', 'organization', 'lord', 'looking', 'joining', 'brought']","['short', 'meaningful', 'knowledge', 'video', 'joining', 'class', 'conducted', 'organization', 'lord', 'brought']","['looking', 'really', 'thanks', 'video']"
30,Wow! No body will explain Hadoop so effectively and easily like you. Hats off to you time and effort. Cheers! btw answer would be D: fault tolerance,Wow! No body will explain Hadoop so effectively and easily like you. Hats off to you time and effort. Cheers! btw answer would be D: fault tolerance,wow no body will explain hadoop so effectively and easily like you hats off to you time and effort cheers btw answer would be d: fault tolerance,"['wow', 'body', 'explain', 'hadoop', 'effectively', 'easily', 'like', 'hat', 'time', 'effort', 'cheer', 'btw', 'answer', 'would', ':', 'fault', 'tolerance']",Positive,Positive,NEGATIVE,0.5982913970947266,"['effort cheers btw answer would', 'fault tolerance', 'explain hadoop', 'easily like', 'wow', 'time', 'hats', 'effectively', 'body']","['wow', 'fault', 'tolerance', 'body', 'explain', 'hadoop', 'effectively', 'easily', 'hats', 'time']","['time', 'wow', 'like', 'hadoop', 'answer', 'tolerance', 'fault']"
31,"Seriously, this is a wonderfully summarised version of any Hadoop video.  Well done summary. The answer is C","Seriously, this is a wonderfully summarised version of any Hadoop video.  Well done summary. The answer is C",seriously this is a wonderfully summarised version of any hadoop video well done summary the answer is c,"['seriously', 'wonderfully', 'summarise', 'version', 'hadoop', 'video', 'well', 'do', 'summary', 'answer', 'c']",Positive,Positive,POSITIVE,0.99955815076828,"['hadoop video well done summary', 'wonderfully summarised version', 'seriously', 'c', 'answer']","['wonderfully', 'summarised', 'version', 'hadoop', 'video', 'summary', 'answer']","['hadoop', 'video', 'answer']"
32,The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,The advantage of the 3x replication schema in HDFS is Option C: to Ensure fault tolerance.,the advantage of the x replication schema in hdfs is option c: to ensure fault tolerance,"['advantage', 'x', 'replication', 'schema', 'hdfs', 'option', 'c', ':', 'ensure', 'fault', 'tolerance']",Positive,Neutral,NEGATIVE,0.966627597808838,"['x replication schema', 'ensure fault tolerance', 'option c', 'hdfs', 'advantage']","['tolerance', 'advantage', 'replication', 'schema', 'hdfs', 'option', 'ensure', 'fault']","['advantage', 'schema', 'hdfs', 'replication', 'option', 'ensure', 'tolerance', 'fault']"
33,"Mind blown explanation, even a kid can understand these concepts by watching this video","Mind blown explanation, even a kid can understand these concepts by watching this video",mind blown explanation even a kid can understand these concepts by watching this video,"['mind', 'blow', 'explanation', 'even', 'kid', 'understand', 'concept', 'watch', 'video']",Neutral,Neutral,NEGATIVE,0.998895525932312,"['mind blown explanation even', 'watching', 'video', 'understand', 'kid', 'concepts']","['mind', 'video', 'blown', 'explanation', 'kid', 'understand', 'concepts', 'watching']","['concepts', 'understand', 'explanation', 'video']"
34,"Option (C)-Ensures Fault Tolerance.


And really thankss for the full  explanation on HADOOP👍.This type explanation was what i was looking for from long back..It was very perfect,clear & simpler to understand.😊👌","Option (C)-Ensures Fault Tolerance.


And really thankss for the full  explanation on HADOOP thumbs_up .This type explanation was what i was looking for from long back..It was very perfect,clear & simpler to understand. smiling_face_with_smiling_eyes  OK_hand ",option censures fault tolerance and really thankss for the full explanation on hadoop thumbs_up this type explanation was what i was looking for from long backit was very perfectclear simpler to understand smiling_face_with_smiling_eyes ok_hand,"['option', 'censure', 'fault', 'tolerance', 'really', 'thankss', 'full', 'explanation', 'hadoop', 'thumbs_up', 'type', 'explanation', 'look', 'long', 'backit', 'perfectclear', 'simple', 'understand', 'smiling_face_with_smiling_eyes', 'ok_hand']",Negative,Positive,POSITIVE,0.9713953733444214,"['option censures fault tolerance', 'understand smiling_face_with_smiling_eyes ok_hand', 'type explanation', 'really thankss', 'perfectclear simpler', 'long backit', 'hadoop thumbs_up', 'full explanation', 'looking']","['smiling', 'face', 'hand', 'explanation', 'option', 'thumbs', 'eyes', 'censures', 'fault', 'tolerance']","['explanation', 'thumbs_up', 'looking', 'censures', 'understand', 'really', 'hadoop', 'option', 'tolerance', 'fault']"
35,Got My All Doubts Cleared. Thanks for uploading the video :),Got My All Doubts Cleared. Thanks for uploading the video :),got my all doubts cleared thanks for uploading the video :,"['get', 'doubt', 'clear', 'thank', 'upload', 'video', ':']",Positive,Positive,POSITIVE,0.9735974073410034,"['doubts cleared thanks', 'video', 'uploading', 'got']","['video', 'doubts', 'cleared', 'uploading']","['thanks', 'video']"
36,"Answer: C) Ensures fault tolerance
Great explanation!!.","Answer: C) Ensures fault tolerance
Great explanation!!.",answer: c ensures fault tolerance great explanation,"['answer', ':', 'c', 'ensure', 'fault', 'tolerance', 'great', 'explanation']",Positive,Positive,POSITIVE,0.9783823490142822,"['c ensures fault tolerance great explanation', 'answer']","['answer', 'explanation', 'ensures', 'fault', 'tolerance', 'great']","['great', 'explanation', 'ensures', 'answer', 'tolerance', 'fault']"
37,I have been working on the Mapr environment but I didn’t got clarity on clusters until I watched this video.. Thanks Keep doing the tutorials on this Hadoop!,I have been working on the Mapr environment but I didn’t got clarity on clusters until I watched this video.. Thanks Keep doing the tutorials on this Hadoop!,i have been working on the mapr environment but i didnt got clarity on clusters until i watched this video thanks keep doing the tutorials on this hadoop,"['work', 'mapr', 'environment', 'do', 'not', 'get', 'clarity', 'cluster', 'watch', 'video', 'thank', 'keep', 'tutorial', 'hadoop']",Positive,Positive,NEGATIVE,0.9851460456848145,"['video thanks keep', 'didnt got clarity', 'mapr environment', 'working', 'watched', 'tutorials', 'hadoop', 'clusters']","['hadoop', 'working', 'mapr', 'environment', 'didnt', 'clarity', 'clusters', 'watched', 'video', 'tutorials']","['hadoop', 'thanks', 'video']"
38,Just saved me a lot of stress going through all the slides from the academy. Amazing! tnxx,Just saved me a lot of stress going through all the slides from the academy. Amazing! tnxx,just saved me a lot of stress going through all the slides from the academy amazing tnxx,"['save', 'lot', 'stress', 'go', 'slide', 'academy', 'amazing', 'tnxx']",Positive,Positive,POSITIVE,0.6866590976715088,"['academy amazing tnxx', 'stress going', 'slides', 'saved', 'lot']","['tnxx', 'saved', 'lot', 'stress', 'slides', 'academy', 'amazing']","['slides', 'just', 'lot', 'amazing']"
39,"Answer is at least a, b, c and could include d, depending on how you define manage. Yes 3x replication ensures fault tolerance but it also allows parallel execution of jobs to be placed on the same node where a block of data resides. The locality benefit can provide faster data analysis and efficient cluster management depending on the workloads.","Answer is at least a, b, c and could include d, depending on how you define manage. Yes 3x replication ensures fault tolerance but it also allows parallel execution of jobs to be placed on the same node where a block of data resides. The locality benefit can provide faster data analysis and efficient cluster management depending on the workloads.",answer is at least a b c and could include d depending on how you define manage yes x replication ensures fault tolerance but it also allows parallel execution of jobs to be placed on the same node where a block of data resides the locality benefit can provide faster data analysis and efficient cluster management depending on the workloads,"['answer', 'least', 'b', 'c', 'could', 'include', 'depend', 'define', 'manage', 'yes', 'x', 'replication', 'ensure', 'fault', 'tolerance', 'also', 'allow', 'parallel', 'execution', 'job', 'place', 'node', 'block', 'datum', 'reside', 'locality', 'benefit', 'provide', 'fast', 'datum', 'analysis', 'efficient', 'cluster', 'management', 'depend', 'workload']",Positive,Negative,NEGATIVE,0.9773241877555848,"['define manage yes x replication ensures fault tolerance', 'also allows parallel execution', 'provide faster data analysis', 'efficient cluster management depending', 'data resides', 'locality benefit', 'could include', 'b c', 'depending', 'workloads']","['depending', 'data', 'answer', 'workloads', 'include', 'define', 'manage', 'replication', 'ensures', 'fault']","['data', 'block', 'cluster', 'faster', 'parallel', 'node', 'replication', 'ensures', 'answer', 'tolerance']"
40,Thank you so much we want this kind of teachers,Thank you so much we want this kind of teachers,thank you so much we want this kind of teachers,"['thank', 'much', 'want', 'kind', 'teacher']",Positive,Positive,POSITIVE,0.9998581409454346,"['want', 'thank', 'teachers', 'much', 'kind']","['teachers', 'kind']","['want', 'kind', 'thank']"
41,I believe the answer is C. The 3x replication schema is used to counter when one of the physical storage is in fault/problem. It is act as backup,I believe the answer is C. The 3x replication schema is used to counter when one of the physical storage is in fault/problem. It is act as backup,i believe the answer is c the x replication schema is used to counter when one of the physical storage is in faultproblem it is act as backup,"['believe', 'answer', 'c', 'x', 'replication', 'schema', 'use', 'counter', 'one', 'physical', 'storage', 'faultproblem', 'act', 'backup']",Neutral,Neutral,NEGATIVE,0.9994481205940248,"['x replication schema', 'physical storage', 'used', 'one', 'faultproblem', 'counter', 'c', 'believe', 'backup', 'answer']","['backup', 'answer', 'replication', 'schema', 'counter', 'physical', 'storage', 'faultproblem', 'act']","['used', 'storage', 'schema', 'replication', 'answer']"
